packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
12.0,6.0,756.0,516.0,6.0,6.0,0.0,0.0,6.0,6.0,276.0,276.0,13650.0,30003.0,46.0,46.0,46.0,46.0,0.0,0.0,14930.0,10.0,amazon-amazon-echo-dot-with-clock-gen3
1229.0,1371.0,269692.0,352714.0,90.0,70.0,141.0,224.0,247.0,1197.0,220160.0,297766.0,1442.0,1292.0,46.0,46.0,6800.0,1360.0,804.0,790.0,1460.0,1369.0,amazon-amazon-echo-dot-with-clock-gen3
41.0,21.0,2731.0,1915.0,22.0,17.0,0.0,1.0,23.0,18.0,1091.0,1075.0,12696.0,25392.0,46.0,46.0,79.0,293.0,10.0,75.0,15035.0,9053.0,amazon-amazon-echo-dot-with-clock-gen3
1.0,2.0,86.0,451.0,1.0,0.0,0.0,1.0,1.0,1.0,46.0,371.0,0.0,2.0,46.0,371.0,46.0,371.0,0.0,0.0,0.0,0.0,amazon-amazon-echo-dot-with-clock-gen3
20.0,18.0,3287.0,11231.0,2.0,1.0,3.0,7.0,7.0,8.0,2443.0,10499.0,110.0,113.0,407.0,1360.0,1360.0,3448.0,435.0,969.0,95.0,99.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,14.0,1606.0,7370.0,1.0,2.0,1.0,5.0,4.0,7.0,922.0,6634.0,23.0,21.0,207.0,1408.0,558.0,1408.0,199.0,582.0,64.0,63.0,amazon-amazon-echo-dot-with-clock-gen3
26.0,23.0,1902.0,34493.0,1.0,4.0,2.0,12.0,4.0,17.0,842.0,33561.0,5.0,5.0,239.0,96.0,446.0,9940.0,154.0,1526.0,6.0,8.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,13.0,1528.0,7276.0,1.0,2.0,1.0,4.0,4.0,6.0,844.0,6592.0,25.0,25.0,204.0,1408.0,483.0,2816.0,168.0,938.0,76.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,13.0,1634.0,7292.0,1.0,2.0,1.0,4.0,4.0,6.0,950.0,6608.0,25.0,24.0,204.0,2816.0,589.0,2816.0,211.0,938.0,77.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
19.0,18.0,3442.0,10617.0,2.0,1.0,3.0,7.0,7.0,8.0,2638.0,9885.0,77.0,72.0,415.0,1360.0,1360.0,2720.0,435.0,761.0,85.0,91.0,amazon-amazon-echo-dot-with-clock-gen3
17.0,17.0,2254.0,7996.0,2.0,1.0,3.0,7.0,6.0,8.0,1530.0,7304.0,85.0,74.0,419.0,1360.0,650.0,1757.0,227.0,544.0,86.0,94.0,amazon-amazon-echo-dot-with-clock-gen3
486.0,275.0,20266.0,1199043.0,1.0,5.0,1.0,265.0,4.0,271.0,794.0,1188031.0,4.0,6.0,221.0,96.0,416.0,29820.0,142.0,3998.0,75.0,93.0,amazon-amazon-echo-dot-with-clock-gen3
16.0,15.0,3305.0,6078.0,2.0,1.0,3.0,5.0,6.0,6.0,2633.0,5466.0,75.0,67.0,412.0,1360.0,1360.0,1732.0,477.0,606.0,85.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
2041.0,1286.0,82481.0,5801097.0,1.0,5.0,1.0,1275.0,4.0,1281.0,809.0,5749645.0,1.0,2.0,221.0,96.0,431.0,65320.0,148.0,3996.0,77.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
19.0,17.0,3442.0,10625.0,2.0,1.0,3.0,7.0,7.0,8.0,2638.0,9933.0,82.0,80.0,415.0,1360.0,1360.0,2525.0,435.0,716.0,92.0,93.0,amazon-amazon-echo-dot-with-clock-gen3
16.0,17.0,1925.0,7566.0,2.0,1.0,3.0,6.0,6.0,7.0,1253.0,6874.0,80.0,66.0,410.0,1360.0,413.0,1360.0,163.0,504.0,70.0,82.0,amazon-amazon-echo-dot-with-clock-gen3
16.0,16.0,1873.0,7526.0,2.0,1.0,3.0,6.0,6.0,7.0,1201.0,6874.0,81.0,71.0,410.0,1360.0,410.0,1360.0,153.0,504.0,70.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
