,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
0,12.0,12.0,1076.0,1953.0,0.0,2.0,0.0,3.0,4.0,8.0,596.0,1473.0,550.0,466.0,149.0,319.0,149.0,319.0,0.0,113.0,884.0,558.0,amazon-amazon-echo-dot-with-clock-gen3
1,20.0,20.0,3287.0,11313.0,2.0,1.0,3.0,9.0,7.0,10.0,2443.0,10501.0,115.0,106.0,407.0,1360.0,1360.0,2720.0,435.0,719.0,98.0,103.0,amazon-amazon-echo-dot-with-clock-gen3
2,13.0,14.0,1628.0,7370.0,1.0,2.0,1.0,5.0,4.0,7.0,944.0,6634.0,23.0,21.0,207.0,1402.0,580.0,1402.0,208.0,580.0,67.0,65.0,amazon-amazon-echo-dot-with-clock-gen3
3,27.0,24.0,1990.0,37815.0,1.0,4.0,2.0,15.0,4.0,20.0,842.0,36843.0,4.0,4.0,239.0,96.0,446.0,7070.0,154.0,1345.0,5.0,14.0,amazon-amazon-echo-dot-with-clock-gen3
4,13.0,12.0,1656.0,7240.0,1.0,2.0,1.0,4.0,4.0,6.0,972.0,6608.0,27.0,28.0,204.0,1402.0,611.0,2804.0,221.0,934.0,79.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
5,13.0,13.0,1550.0,7276.0,1.0,2.0,1.0,5.0,4.0,7.0,866.0,6592.0,26.0,25.0,204.0,1402.0,505.0,1402.0,177.0,578.0,77.0,75.0,amazon-amazon-echo-dot-with-clock-gen3
6,18.0,15.0,3382.0,10501.0,2.0,1.0,3.0,7.0,6.0,8.0,2618.0,9889.0,75.0,79.0,415.0,1360.0,1360.0,2503.0,475.0,711.0,85.0,94.0,amazon-amazon-echo-dot-with-clock-gen3
7,17.0,16.0,2298.0,7956.0,2.0,1.0,3.0,7.0,6.0,8.0,1574.0,7304.0,85.0,79.0,419.0,1360.0,694.0,2720.0,240.0,790.0,88.0,98.0,amazon-amazon-echo-dot-with-clock-gen3
8,17.0,11.0,3325.0,5918.0,2.0,1.0,3.0,3.0,7.0,4.0,2613.0,5466.0,94.0,129.0,412.0,4452.0,1360.0,4452.0,435.0,1791.0,97.0,105.0,amazon-amazon-echo-dot-with-clock-gen3
9,2297.0,1115.0,99653.0,5806005.0,1.0,5.0,1.0,1104.0,4.0,1110.0,809.0,5761393.0,1.0,3.0,221.0,96.0,431.0,65044.0,148.0,4691.0,82.0,77.0,amazon-amazon-echo-dot-with-clock-gen3
10,18.0,15.0,3382.0,10501.0,2.0,1.0,3.0,6.0,6.0,7.0,2618.0,9889.0,74.0,79.0,415.0,2720.0,1360.0,2720.0,475.0,926.0,84.0,91.0,amazon-amazon-echo-dot-with-clock-gen3
